1,LINGUISTICS
2,"PSYCHOLOGY, MULTIDISCIPLINARY"
3,INFORMATION SCIENCE & LIBRARY SCIENCE
4,LOGIC
5,"ENGINEERING, MULTIDISCIPLINARY"
6,"EDUCATION, SCIENTIFIC DISCIPLINES"
7,ETHICS
8,MANAGEMENT
9,BUSINESS
10,EDUCATION & EDUCATIONAL RESEARCH
11,SOCIOLOGY
12,"COMPUTER SCIENCE, THEORY & METHODS"
13,"PSYCHOLOGY, SOCIAL"
14,HISTORY & PHILOSOPHY OF SCIENCE
15,MATHEMATICS
16,STATISTICS & PROBABILITY
17,"PSYCHOLOGY, DEVELOPMENTAL"
18,"PSYCHOLOGY, CLINICAL"
19,LAW
20,"SOCIAL SCIENCES, MATHEMATICAL METHODS"
21,COMMUNICATION
22,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
23,"SOCIAL SCIENCES, INTERDISCIPLINARY"
24,"BUSINESS, FINANCE"
25,"PSYCHOLOGY, EDUCATIONAL"
26,SOCIAL ISSUES
27,CRIMINOLOGY & PENOLOGY
28,WOMENS STUDIES
29,"PSYCHOLOGY, APPLIED"
30,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"
31,PHYSIOLOGY
32,FAMILY STUDIES
33,SOCIAL WORK
34,PSYCHIATRY
35,EVOLUTIONARY BIOLOGY
36,"PSYCHOLOGY, MATHEMATICAL"
37,"PSYCHOLOGY, EXPERIMENTAL"
38,PEDIATRICS
39,NEUROSCIENCES
40,HEALTH POLICY & SERVICES
41,ZOOLOGY
42,ECOLOGY
43,POLITICAL SCIENCE
44,BEHAVIORAL SCIENCES
45,BIOLOGY
46,PSYCHOLOGY
47,"SOCIAL SCIENCES, BIOMEDICAL"
48,CLINICAL NEUROLOGY
49,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
50,MULTIDISCIPLINARY SCIENCES
51,"PSYCHOLOGY, BIOLOGICAL"
52,NURSING
53,INTERNATIONAL RELATIONS
54,"MEDICINE, GENERAL & INTERNAL"
55,ECONOMICS
56,ANTHROPOLOGY
57,HEALTH CARE SCIENCES & SERVICES
58,SUBSTANCE ABUSE
59,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
60,GERIATRICS & GERONTOLOGY
61,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
62,PUBLIC ADMINISTRATION
63,"COMPUTER SCIENCE, CYBERNETICS"
64,ENVIRONMENTAL STUDIES
65,TELECOMMUNICATIONS
66,MEDICAL INFORMATICS
67,"PHYSICS, MULTIDISCIPLINARY"
68,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
69,MATHEMATICAL & COMPUTATIONAL BIOLOGY
70,PLANNING & DEVELOPMENT
71,ERGONOMICS
72,"MATHEMATICS, APPLIED"
73,ETHNIC STUDIES
74,GERONTOLOGY
75,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
76,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
77,URBAN STUDIES
78,CULTURAL STUDIES
79,AREA STUDIES
80,GEOGRAPHY
81,"HOSPITALITY, LEISURE, SPORT & TOURISM"
82,"ENGINEERING, INDUSTRIAL"
83,INDUSTRIAL RELATIONS & LABOR
84,METEOROLOGY & ATMOSPHERIC SCIENCES
85,PLANT SCIENCES
86,"MEDICINE, RESEARCH & EXPERIMENTAL"
87,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
88,BIOTECHNOLOGY & APPLIED MICROBIOLOGY
89,NANOSCIENCE & NANOTECHNOLOGY
90,BIODIVERSITY CONSERVATION
91,"CHEMISTRY, MULTIDISCIPLINARY"
92,IMMUNOLOGY
93,ENVIRONMENTAL SCIENCES
94,GENETICS & HEREDITY
95,BIOCHEMISTRY & MOLECULAR BIOLOGY
96,ENERGY & FUELS
97,HISTORY OF SOCIAL SCIENCES
98,VETERINARY SCIENCES
99,DEMOGRAPHY
100,NUTRITION & DIETETICS
101,HISTORY
102,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
103,REHABILITATION
104,SPORT SCIENCES
105,PHARMACOLOGY & PHARMACY
106,ONCOLOGY
107,"MEDICINE, LEGAL"
108,VIROLOGY
109,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
110,NEUROIMAGING
111,MEDICAL ETHICS
112,INFECTIOUS DISEASES
113,RESPIRATORY SYSTEM
114,OPHTHALMOLOGY
115,EMERGENCY MEDICINE
116,PERIPHERAL VASCULAR DISEASE
117,"EDUCATION, SPECIAL"
118,INTEGRATIVE & COMPLEMENTARY MEDICINE
119,FOOD SCIENCE & TECHNOLOGY
120,GASTROENTEROLOGY & HEPATOLOGY
121,ANESTHESIOLOGY
122,TRANSPLANTATION
123,ENDOCRINOLOGY & METABOLISM
124,OBSTETRICS & GYNECOLOGY
125,MICROBIOLOGY
126,SURGERY
127,CARDIAC & CARDIOVASCULAR SYSTEMS
128,PRIMARY HEALTH CARE
129,ALLERGY
130,CRITICAL CARE MEDICINE
131,"PHYSICS, MATHEMATICAL"
132,"PHYSICS, FLUIDS & PLASMAS"
133,TRANSPORTATION
134,CELL BIOLOGY
135,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
136,"ENGINEERING, MANUFACTURING"
137,AUTOMATION & CONTROL SYSTEMS
138,DEVELOPMENTAL BIOLOGY
139,UROLOGY & NEPHROLOGY
140,OTORHINOLARYNGOLOGY
141,ACOUSTICS
142,"GEOGRAPHY, PHYSICAL"
143,FORESTRY
144,"MATERIALS SCIENCE, PAPER & WOOD"
145,"DENTISTRY, ORAL SURGERY & MEDICINE"
146,"ENGINEERING, ELECTRICAL & ELECTRONIC"
147,OPTICS
148,INSTRUMENTS & INSTRUMENTATION
149,"ENGINEERING, ENVIRONMENTAL"
150,TRANSPORTATION SCIENCE & TECHNOLOGY
151,RHEUMATOLOGY
152,DERMATOLOGY
153,TOXICOLOGY
154,ORTHOPEDICS
155,"CHEMISTRY, APPLIED"
156,"AGRICULTURE, MULTIDISCIPLINARY"
157,REPRODUCTIVE BIOLOGY
158,AGRICULTURAL ECONOMICS & POLICY
159,ROBOTICS
160,"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
161,AGRICULTURAL ENGINEERING
162,SOIL SCIENCE
163,AGRONOMY
164,"CHEMISTRY, ANALYTICAL"
165,HORTICULTURE
166,PHILOSOPHY
167,LANGUAGE & LINGUISTICS
168,WOMEN'S STUDIES
169,HEMATOLOGY
170,"ENGINEERING, BIOMEDICAL"
171,EMERGENCY MEDICINE & CRITICAL CARE
172,DERMATOLOGY & VENEREAL DISEASES
173,"PHYSICS, APPLIED"
174,"BIOLOGY, MISCELLANEOUS"
175,"MATHEMATICS, MISCELLANEOUS"
176,COMPUTER APPLICATIONS & CYBERNETICS
177,"COMPUTER SCIENCE, SOFTWARE, GRAPHICS, PROGRAMMING"
178,PHYSICS
179,PATHOLOGY
180,BIOPHYSICS
181,PALEONTOLOGY
182,APPLIED LINGUISTICS
183,"PSYCHOLOGY, PSYCHOANALYSIS"
184,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"
185,"ENGINEERING, MECHANICAL"
186,"CHEMISTRY, MEDICINAL"
187,ASTRONOMY & ASTROPHYSICS
188,"ENGINEERING, CHEMICAL"
189,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY
190,"PHYSICS, PARTICLES & FIELDS"
191,OCEANOGRAPHY
192,"ENGINEERING, OCEAN"
193,MECHANICS
194,MEDICAL LABORATORY TECHNOLOGY
195,TROPICAL MEDICINE
196,"ENGINEERING, CIVIL"
197,CONSTRUCTION & BUILDING TECHNOLOGY
198,WATER RESOURCES
199,LIMNOLOGY
200,ELECTROCHEMISTRY
201,THERMODYNAMICS
202,BIOCHEMICAL RESEARCH METHODS
203,ORNITHOLOGY
204,"GEOSCIENCES, MULTIDISCIPLINARY"
205,"CHEMISTRY, PHYSICAL"
206,PARASITOLOGY
207,REMOTE SENSING
208,MARINE & FRESHWATER BIOLOGY
209,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING"
210,"ENGINEERING, AEROSPACE"
211,NUCLEAR SCIENCE & TECHNOLOGY
