1,Argumentation
2,COMMUNICATION MONOGRAPHS
3,Information Communication & Society
4,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION
5,INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT
6,DISCOURSE STUDIES
7,Visual Communication
8,Critical Discourse Studies
9,SCIENCE COMMUNICATION
10,Discourse & Communication
11,Journal of Public Relations Research
12,International Journal of Communication
13,JOURNAL OF BROADCASTING & ELECTRONIC MEDIA
14,EUROPEAN JOURNAL OF COMMUNICATION
15,HEALTH COMMUNICATION
16,International Journal of Press-Politics
17,NEW MEDIA & SOCIETY
18,TECHNICAL COMMUNICATION
19,LANGUAGE & COMMUNICATION
20,Communications-European Journal of Communication Research
21,Continuum-Journal of Media & Cultural Studies
22,NARRATIVE INQUIRY
23,Text & Talk
24,JOURNALISM & MASS COMMUNICATION QUARTERLY
25,Journal of Media Psychology-Theories Methods and Applications
26,Discourse Context & Media
27,Comunicar
28,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS
29,Translator
30,Tijdschrift voor Communicatiewetenschap
31,PUBLIC RELATIONS REVIEW
32,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY
33,COMMUNICATION RESEARCH
34,Journal of Computer-Mediated Communication
35,International Communication Gazette
36,Mass Communication and Society
37,COMMUNICATION THEORY
38,JOURNAL OF ADVERTISING
39,QUARTERLY JOURNAL OF SPEECH
40,MEDIA PSYCHOLOGY
41,JOURNAL OF APPLIED COMMUNICATION RESEARCH
42,Games and Culture
43,International Journal of Advertising
44,JOURNAL OF HEALTH COMMUNICATION
45,Journalism
46,CRITICAL STUDIES IN MEDIA COMMUNICATION
47,POLITICAL COMMUNICATION
48,Rhetoric Society Quarterly
49,PUBLIC OPINION QUARTERLY
50,Convergence-The International Journal of Research into New Media Technologies
51,PUBLIC UNDERSTANDING OF SCIENCE
52,JOURNAL OF COMMUNICATION
53,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH
54,JOURNAL OF MEDIA ECONOMICS
55,TELECOMMUNICATIONS POLICY
56,PERSONAL RELATIONSHIPS
57,Chinese Journal of Communication
58,Social Semiotics
59,Interaction Studies
60,Television & New Media
61,Journalism Studies
62,Communication Culture & Critique
63,Media International Australia
64,DISCOURSE & SOCIETY
65,Management Communication Quarterly
66,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION
67,JAVNOST-THE PUBLIC
68,Environmental Communication-A Journal of Nature and Culture
69,Communication and Critical-Cultural Studies
70,African Journalism Studies
71,Journal of Mass Media Ethics
72,JOURNAL OF ADVERTISING RESEARCH
73,Asian Journal of Communication
74,JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION
75,WRITTEN COMMUNICATION
76,MEDIA CULTURE & SOCIETY
77,HUMAN COMMUNICATION RESEARCH
78,Journal of African Media Studies
79,WESTERN JOURNAL OF COMMUNICATION
80,PUBLIC CULTURE
81,CRITICAL STUDIES IN MASS COMMUNICATION
82,LEARNED PUBLISHING
83,COMMUNICATION EDUCATION
84,PUBLISHING RESEARCH QUARTERLY
85,EUROPEAN JOURNAL OF DISORDERS OF COMMUNICATION
86,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS
87,HARVARD INTERNATIONAL JOURNAL OF PRESS-POLITICS
88,CYBERPSYCHOLOGY & BEHAVIOR
89,Augmentative and Alternative Communication
90,Ecquid Novi-African Journalism Studies
91,International Journal of Mobile Communications
92,Comunicacion y Sociedad
93,Estudios Sobre el Mensaje Periodistico
